filename,SAT,STATUS,TIME (s)
40_05_005_100_25_1.GSP,121,TIMEOUT,300.02
40_05_005_100_50_1.GSP,108,FINISHED,0.53
40_05_005_100_75_1.GSP,133,FINISHED,0.53
40_05_005_125_25_1.GSP,88,TIMEOUT,300.01
40_05_005_125_50_1.GSP,114,FINISHED,0.55
40_05_005_125_75_1.GSP,152,FINISHED,1.38
40_05_025_100_25_1.GSP,91,TIMEOUT,300.02
40_05_025_100_50_1.GSP,90,FINISHED,1.69
40_05_025_100_75_1.GSP,100,FINISHED,0.69
40_05_025_125_25_1.GSP,74,TIMEOUT,300.02
40_05_025_125_50_1.GSP,85,FINISHED,1.32
40_05_025_125_75_1.GSP,153,FINISHED,0.69
40_05_050_100_25_1.GSP,58,FINISHED,0.81
40_05_050_100_50_1.GSP,77,FINISHED,2.72
40_05_050_100_75_1.GSP,90,FINISHED,1.06
40_05_050_125_25_1.GSP,59,FINISHED,0.44
40_05_050_125_50_1.GSP,92,FINISHED,10.99
40_05_050_125_75_1.GSP,118,FINISHED,1.81
40_10_005_100_25_1.GSP,77,FINISHED,0.24
40_10_005_100_50_1.GSP,55,FINISHED,0.25
40_10_005_100_75_1.GSP,115,FINISHED,0.19
40_10_005_125_25_1.GSP,164,FINISHED,0.19
40_10_005_125_50_1.GSP,52,FINISHED,0.26
40_10_005_125_75_1.GSP,130,FINISHED,0.27
40_10_025_100_25_1.GSP,4,FINISHED,0.75
40_10_025_100_50_1.GSP,81,FINISHED,0.27
40_10_025_100_75_1.GSP,136,FINISHED,0.22
40_10_025_125_25_1.GSP,11,FINISHED,0.49
40_10_025_125_50_1.GSP,94,FINISHED,0.9
40_10_025_125_75_1.GSP,125,FINISHED,0.31
40_10_050_100_25_1.GSP,71,FINISHED,0.46
40_10_050_100_50_1.GSP,4,FINISHED,0.3
40_10_050_100_75_1.GSP,9,FINISHED,0.26
40_10_050_125_25_1.GSP,0,FINISHED,0.47
40_10_050_125_50_1.GSP,11,FINISHED,0.29
40_10_050_125_75_1.GSP,84,FINISHED,0.6
